MsgID.GLOBAL_POSITION,0.0000000,-122.3974504,37.7924809,-0.0480000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2.5020000,0.1088291,-0.0380307,0.0482796
MsgID.LOCAL_VELOCITY,2.5020000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974511,37.7924799,-0.0190000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2.7520000,-0.0106965,-0.1030771,0.0190855
MsgID.LOCAL_VELOCITY,2.7520000,0.0000000,0.0000000,-0.0000000
MsgID.STATE,0.0000000,False,False,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974515,37.7924802,0.0130000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3.0030000,0.0225494,-0.1410149,-0.0130263
MsgID.LOCAL_VELOCITY,3.0030000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974495,37.7924799,0.0490000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3.2530000,-0.0006393,0.0361913,-0.0495245
MsgID.LOCAL_VELOCITY,3.2530000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974484,37.7924799,0.0790000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3.5030000,-0.0008396,0.1399431,-0.0798061
MsgID.LOCAL_VELOCITY,3.5030000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974503,37.7924790,0.1120000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3.7530000,-0.1070079,-0.0314850,-0.1122325
MsgID.LOCAL_VELOCITY,3.7530000,-0.0000024,0.0000099,0.0000100
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974511,37.7924793,0.1390000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,4.0030000,-0.0716126,-0.1053894,-0.1392856
MsgID.LOCAL_VELOCITY,4.0030000,0.0000179,-0.0000056,0.0000172
MsgID.GLOBAL_POSITION,0.0000000,-122.3974482,37.7924811,0.1680000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,4.2540000,0.0766815,0.4470178,-0.1683264
MsgID.LOCAL_VELOCITY,4.2540000,-0.0000016,-0.0000126,0.0000200
MsgID.GLOBAL_POSITION,0.0000000,-122.3974479,37.7924800,0.1900000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,4.5030000,-0.0497090,0.4720556,-0.1907396
MsgID.LOCAL_VELOCITY,4.5030000,-0.0000101,0.0000026,0.0000207
MsgID.GLOBAL_POSITION,0.0000000,-122.3974494,37.7924808,0.2100000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,4.7540000,0.0465103,0.3418014,-0.2105359
MsgID.LOCAL_VELOCITY,4.7540000,0.0000033,-0.0000087,0.0000153
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.LOCAL_POSITION,5.0040000,0.0676039,0.2404752,-0.2208450
MsgID.LOCAL_VELOCITY,5.0040000,0.0000086,0.0000034,0.0000150
MsgID.GLOBAL_POSITION,0.0000000,-122.3974506,37.7924810,0.2200000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,5.2540000,-0.1411482,0.1594937,-0.2224694
MsgID.LOCAL_VELOCITY,5.2540000,0.0000163,-0.0000092,0.0000226
MsgID.GLOBAL_POSITION,0.0000000,-122.3974515,37.7924791,0.2220000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,5.5040000,-0.0958460,0.1153440,-0.2135747
MsgID.LOCAL_VELOCITY,5.5040000,0.0000051,0.0000003,0.0000231
MsgID.GLOBAL_POSITION,0.0000000,-122.3974520,37.7924796,0.2130000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,5.7530000,-0.0513624,0.2554384,-0.1903562
